City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hemmoor,53.7,9.1167,14.07,89,41,3.57,DE,1690325439
84,dharampur,20.5333,73.1833,24.95,95,100,3.25,IN,1690325439
85,ripky,51.801,31.0838,21.73,81,80,3.92,UA,1690325440
86,dhuusamarreeb,5.535,46.3861,23.32,72,86,10.26,SO,1690325440
87,patong,7.8961,98.2966,30.57,71,100,5.8,TH,1690325440
88,salekhard,66.53,66.6019,15.87,94,100,4.38,RU,1690325440
89,hermanus,-34.4187,19.2345,8.78,61,31,2.48,ZA,1690325441
90,zaragoza,41.6561,-0.8773,19.25,53,0,7.72,ES,1690325441
91,talnakh,69.4865,88.3972,15.67,62,0,0.25,RU,1690325441
92,qamdo,31.1667,97.2333,4.21,89,100,0.36,CN,1690325442
93,port mathurin,-19.6833,63.4167,23.28,77,24,6.82,MU,1690325442
94,remire-montjoly,4.9167,-52.2667,27.02,89,59,1.03,GF,1690325364
95,kokopo,-4.352,152.2633,27.36,72,98,6.41,PG,1690325442
96,bontang,0.1333,117.5,24.82,90,13,3.52,ID,1690325443
97,enewetak,11.3474,162.3373,28.53,78,65,7.07,MH,1690325296
98,susuman,62.7833,148.1667,14.86,79,100,1.24,RU,1690325443
99,vernon,50.2581,-119.2691,24.96,33,79,2.68,CA,1690325287
100,chernyshevskiy,63.0128,112.4714,18.16,90,59,2.48,RU,1690325444
101,mount gambier,-37.8333,140.7667,6.95,89,100,2.24,AU,1690325178
102,corn island,12.1694,-83.0418,27.88,83,100,6.73,NI,1690325444
103,wailea,19.8858,-155.123,28.02,85,100,3.6,US,1690325445
104,westport,41.1415,-73.3579,22.82,84,100,3.6,US,1690325445
105,luderitz,-26.6481,15.1594,12.16,92,44,1.92,NA,1690325445
106,suva,-18.1416,178.4415,23.71,78,75,2.06,FJ,1690325283
107,hamilton,39.1834,-84.5333,31.66,55,0,3.09,US,1690325445
108,mastic beach,40.7668,-72.8521,23.94,93,100,4.12,US,1690325446
109,polyarnyy,69.1989,33.4478,9.83,95,81,2.48,RU,1690325446
110,gadzhiyevo,69.2551,33.3362,9.49,96,83,2.56,RU,1690325446
111,kruisfontein,-34.0033,24.7314,10.93,32,0,2.52,ZA,1690325187
112,qaqortoq,60.7167,-46.0333,6.14,89,81,0.25,GL,1690325197
113,igarka,67.4667,86.5833,17.17,75,15,3.11,RU,1690325448
114,broken hill,-31.95,141.4333,10.08,58,0,2.82,AU,1690325448
115,cobh,51.8572,-8.2992,12.58,94,20,2.06,IE,1690325449
116,dakhla,23.6848,-15.958,20.13,88,4,10.17,EH,1690325449
117,tabalosos,-6.35,-76.6833,24.11,73,87,0.84,PE,1690325449
118,khandyga,62.6667,135.6,19.71,82,36,1.18,RU,1690325450
119,ribeira grande,38.5167,-28.7,20.99,81,7,2.68,PT,1690325450
120,tura,25.5198,90.2201,23.39,95,96,2.85,IN,1690325450
121,libreville,0.3925,9.4537,24.24,82,70,3.63,GA,1690325450
122,acarau,-2.8856,-40.12,25.96,77,6,7.35,BR,1690325218
123,kargasok,59.0556,80.8572,13.99,95,4,2.59,RU,1690325451
124,hawaiian paradise park,19.5933,-154.9731,27.8,80,100,3.6,US,1690325335
125,taoudenni,22.6783,-3.9836,40.77,9,77,3.57,ML,1690325289
126,glenfield park,-35.1372,147.334,6.31,79,8,1.35,AU,1690325452
127,nar'yan-mar,67.6713,53.087,13.6,88,16,2.74,RU,1690325452
128,axim,4.8699,-2.2405,24.45,92,97,3.23,GH,1690325452
129,debre birhan,9.6833,39.5333,12.19,79,100,1.59,ET,1690325453
130,ylitornio,66.3089,23.6773,10.83,96,84,1.27,FI,1690325453
131,darwin,-12.4611,130.8418,16.99,46,0,5.14,AU,1690325453
132,mount isa,-20.7333,139.5,17.87,72,100,4.63,AU,1690325213
133,ambon,-3.6954,128.1814,27.91,100,40,2.57,ID,1690325454
134,kourou,5.1552,-52.6478,27.03,84,50,3.38,GF,1690325336
135,vilyuysk,63.7553,121.6247,17.91,48,34,2.56,RU,1690325454
136,alice springs,-23.7,133.8833,5.75,81,13,2.06,AU,1690325352
137,la'ie,21.6477,-157.9253,31.98,70,51,6.79,US,1690325455
138,bukama,-9.2,25.85,22.61,35,6,0.92,CD,1690325207
139,rio grande,-32.035,-52.0986,16.06,90,100,6.97,BR,1690325456
140,invercargill,-46.4,168.35,7.19,79,72,5.2,NZ,1690325194
141,guerrero negro,27.9769,-114.0611,25.85,55,26,7.3,MX,1690325177
142,amahai,-3.3333,128.9167,26.67,84,82,2.9,ID,1690325457
143,fort mcmurray,56.7268,-111.381,19.77,82,75,2.06,CA,1690325385
144,bonthe,7.5264,-12.505,24.58,90,100,1.77,SL,1690325458
